Id,S?kuma laiks,Pabeig�anas laiks,E-pasts,V?rds,saprotam?k? valoda,"gr?t?k? t?ma, uzdevums","lai es lab?k m?c?tos/ lab?k saprastu, kas skolot?jiem j?dara sav?d?k?"
1,4/23/2025 19:42,4/23/2025 19:43,anonymous,,Python,"Sveika, skola",
2,4/24/2025 10:01,4/24/2025 10:03,anon?mi,,HTML+CSS+JS,agri piecelties,viss
3,4/24/2025 10:21,4/24/2025 10:21,anon?mi,,HTML+CSS+JS,SQL,
4,4/24/2025 10:20,4/24/2025 10:21,anon?mi,,Scratch,datub?zes,
5,4/24/2025 10:21,4/24/2025 10:21,anon?mi,,Scratch,Atcer?ties visas funkcijas un atrast tas ,Nezinu 
6,4/24/2025 10:21,4/24/2025 10:21,anon?mi,,Scratch,python,nezinu
7,4/24/2025 10:20,4/24/2025 10:22,anon?mi,,Scratch,python,nezinu
8,4/24/2025 10:21,4/24/2025 10:22,anon?mi,,HTML+CSS+JS,python,nezinu
9,4/24/2025 10:21,4/24/2025 10:22,anon?mi,,Scratch,Python,Nezinu
10,4/24/2025 10:21,4/24/2025 10:22,anon?mi,,Scratch,python,labs jaut?jums
11,4/24/2025 10:20,4/24/2025 10:22,anon?mi,,Scratch,Python,Nezinu.
12,4/24/2025 10:20,4/24/2025 10:22,anon?mi,,Python,Dddddddddddddddddddddddddddddddddddddddddddddddddd,Viss j?turpina k? ir
13,4/24/2025 10:21,4/24/2025 10:22,anon?mi,,Scratch,SQlite,J?pal?dz inviduali cilv?kiem kas maz?k saprot vai ar? neko nesaprot 
14,4/24/2025 10:21,4/24/2025 10:22,anon?mi,,Scratch,Loops,Visu detaliz?t?k paskaidrot 
15,4/24/2025 10:20,4/24/2025 10:22,anon?mi,,Scratch,python,Nav ieteikumu
16,4/24/2025 10:20,4/24/2025 10:22,anon?mi,,Python,Visas l?dz?gas,"J?st?sta un j?skaidro ar liel?ku interesi, sav?d?k liekas garlaic?gi."
17,4/24/2025 10:21,4/24/2025 10:22,anon?mi,,HTML+CSS+JS,pythons pats pa sevi,
18,4/24/2025 10:20,4/24/2025 10:22,anon?mi,,HTML+CSS+JS,python,
19,4/24/2025 10:21,4/24/2025 10:22,anon?mi,,HTML+CSS+JS,C# visp?r?j? apguve,"Vairak grupu darbu un lielakus projektus. Lai ir intresanti. Piem. Kadu spelu taisiana un katrs atbild pa savu. Piem. Vizualais, back end code."
20,4/24/2025 10:21,4/24/2025 10:23,anon?mi,,Python,Rekursija,Varb?t nedaudz nepietiek motiv?cijas
21,4/24/2025 10:20,4/24/2025 10:23,anon?mi,,Scratch,nav ?sti,J?piev?r� nedaudz vair?k uzman?bu skol?niem kas neizprot tik labi t?mas
22,4/24/2025 10:21,4/24/2025 10:23,anon?mi,,HTML+CSS+JS,python,
23,4/24/2025 10:21,4/24/2025 10:23,anon?mi,,Scratch,Pythone,
24,4/24/2025 10:20,4/24/2025 10:23,anon?mi,,Scratch,Python,Nav ne jausmas
25,4/24/2025 10:21,4/24/2025 10:24,anon?mi,,Scratch,Python.,J?paskaidro ab?m pus?m.
26,4/24/2025 10:25,4/24/2025 10:26,anon?mi,,Java,Shop,Melnais skolot?js
